nama_provinsi,desa_kelurahan,ketersediaan_tempat_pembuangan_sampah,tahun
JAWA BARAT,PURWASARI,ADA,2019.0
JAWA BARAT,CIKARAWANG,ADA,2019.0
JAWA BARAT,BABAKAN,ADA,2019.0
JAWA BARAT,DRAMAGA,ADA,2019.0
JAWA BARAT,NEGLASARI,ADA,2019.0
JAWA BARAT,SUKAMANTRI,ADA,2019.0
JAWA BARAT,SIRNAGALIH,TIDAK ADA,2019.0
JAWA BARAT,PASIREURIH,TIDAK ADA,2019.0
JAWA BARAT,TAMANSARI,TIDAK ADA,2019.0
JAWA BARAT,SUKALUYU,TIDAK ADA,2019.0
JAWA BARAT,SUKARESMI,TIDAK ADA,2019.0
JAWA BARAT,SUKAJAYA,TIDAK ADA,2019.0
JAWA BARAT,SUKAJADI,TIDAK ADA,2019.0
JAWA BARAT,KLAPANUNGGAL,TIDAK ADA,2019.0
JAWA BARAT,BOJONG,TIDAK ADA,2019.0
JAWA BARAT,NAMBO,TIDAK ADA,2019.0
JAWA BARAT,LULUT,TIDAK ADA,2019.0
JAWA BARAT,CIKAHURIPAN,TIDAK ADA,2019.0
JAWA BARAT,KEMBANG KUNING,TIDAK ADA,2019.0
JAWA BARAT,BANTAR JATI,TIDAK ADA,2019.0
JAWA BARAT,LEUWIKARET,ADA,2019.0
JAWA BARAT,LIGARMUKTI,TIDAK ADA,2019.0
JAWA BARAT,PUTAT NUTUG,TIDAK ADA,2019.0
JAWA BARAT,CISEENG,TIDAK ADA,2019.0
JAWA BARAT,PARIGI MEKAR,ADA,2019.0
JAWA BARAT,CIBENTANG,ADA,2019.0
JAWA BARAT,CIBEUTEUNG UDIK,TIDAK ADA,2019.0
JAWA BARAT,KARIHKIL,TIDAK ADA,2019.0
JAWA BARAT,BABAKAN,TIDAK ADA,2019.0
JAWA BARAT,CIHOE,TIDAK ADA,2019.0
JAWA BARAT,CIBEUTEUNG MUARA,TIDAK ADA,2019.0
JAWA BARAT,KURIPAN,TIDAK ADA,2019.0
JAWA BARAT,BANTARJAYA,TIDAK ADA,2019.0
JAWA BARAT,BANTARSARI,TIDAK ADA,2019.0
JAWA BARAT,PASIRGAOK,TIDAK ADA,2019.0
JAWA BARAT,RANCABUNGUR,TIDAK ADA,2019.0
JAWA BARAT,MEKARSARI,ADA,2019.0
JAWA BARAT,CANDALI,TIDAK ADA,2019.0
JAWA BARAT,CIMULANG,TIDAK ADA,2019.0
JAWA BARAT,CISARUA,ADA,2019.0
JAWA BARAT,KIARASARI,TIDAK ADA,2019.0
JAWA BARAT,SUKAJAYA,ADA,2019.0
JAWA BARAT,SIPAYUNG,TIDAK ADA,2019.0
JAWA BARAT,CILEUKSA,TIDAK ADA,2019.0
JAWA BARAT,KIARAPANDAK,TIDAK ADA,2019.0
JAWA BARAT,HARKATJAYA,TIDAK ADA,2019.0
JAWA BARAT,SUKAMULIH,TIDAK ADA,2019.0
JAWA BARAT,PASIR MADANG,TIDAK ADA,2019.0
JAWA BARAT,URUG,ADA,2019.0
JAWA BARAT,JAYARAHARJA,TIDAK ADA,2019.0
JAWA BARAT,TANJUNGSARI,TIDAK ADA,2019.0
JAWA BARAT,SELAWANGI,TIDAK ADA,2019.0
JAWA BARAT,TANJUNGRASA,TIDAK ADA,2019.0
JAWA BARAT,ANTAJAYA,TIDAK ADA,2019.0
JAWA BARAT,PASIR TANJUNG,TIDAK ADA,2019.0
JAWA BARAT,CIBADAK,TIDAK ADA,2019.0
JAWA BARAT,SUKARASA,ADA,2019.0
JAWA BARAT,SIRNASARI,TIDAK ADA,2019.0
JAWA BARAT,BUANAJAYA,TIDAK ADA,2019.0
JAWA BARAT,SIRNARASA,TIDAK ADA,2019.0
JAWA BARAT,TAJURHALANG,TIDAK ADA,2019.0
JAWA BARAT,CITAYAM,ADA,2019.0
JAWA BARAT,SASAK PANJANG,TIDAK ADA,2019.0
JAWA BARAT,NANGGERANG,TIDAK ADA,2019.0
JAWA BARAT,SUKMAJAYA,TIDAK ADA,2019.0
JAWA BARAT,TONJONG,TIDAK ADA,2019.0
JAWA BARAT,KALISUREN,ADA,2019.0
JAWA BARAT,CIGOMBONG,TIDAK ADA,2019.0
JAWA BARAT,WATESJAYA,ADA,2019.0
JAWA BARAT,CIBURUY,ADA,2019.0
JAWA BARAT,SROGOL,ADA,2019.0
JAWA BARAT,CISALADA,ADA,2019.0
JAWA BARAT,TUGUJAYA,TIDAK ADA,2019.0
JAWA BARAT,PASIRJAYA,ADA,2019.0
JAWA BARAT,CIBURAYUT,TIDAK ADA,2019.0
JAWA BARAT,CIADEG,ADA,2019.0
JAWA BARAT,LEUWISADENG,ADA,2019.0
JAWA BARAT,BABAKAN SADENG,TIDAK ADA,2019.0
JAWA BARAT,SADENG KOLOT,ADA,2019.0
JAWA BARAT,WANGUNJAYA,TIDAK ADA,2019.0
JAWA BARAT,KALONG I,ADA,2019.0
JAWA BARAT,KALONG II,TIDAK ADA,2019.0
JAWA BARAT,SADENG,ADA,2019.0
JAWA BARAT,SIBANTENG,TIDAK ADA,2019.0
JAWA BARAT,TAPOS I,TIDAK ADA,2019.0
JAWA BARAT,TAPOS II,TIDAK ADA,2019.0
JAWA BARAT,CIBITUNG TENGAH,ADA,2019.0
JAWA BARAT,SITUDAUN,TIDAK ADA,2019.0
JAWA BARAT,CINANGNENG,TIDAK ADA,2019.0
JAWA BARAT,GUNUNG MALANG,ADA,2019.0
JAWA BARAT,GUNUNG MULYA,TIDAK ADA,2019.0
JAWA BARAT,TONJONG,TIDAK ADA,2019.0
JAWA BARAT,CITEPUS,ADA,2019.0
JAWA BARAT,BUNIWANGI,ADA,2019.0
JAWA BARAT,CIBODAS,TIDAK ADA,2019.0
JAWA BARAT,PASIRSUREN,TIDAK ADA,2019.0
JAWA BARAT,CIKADU,ADA,2019.0
JAWA BARAT,CITARIK,ADA,2019.0
JAWA BARAT,CIMANGGU,ADA,2019.0
JAWA BARAT,JAYANTI,ADA,2019.0
JAWA BARAT,CIDADAP,TIDAK ADA,2019.0
JAWA BARAT,LOJI,TIDAK ADA,2019.0
JAWA BARAT,KERTAJAYA,TIDAK ADA,2019.0
JAWA BARAT,CIHAUR,TIDAK ADA,2019.0
JAWA BARAT,CIBUNTU,TIDAK ADA,2019.0
JAWA BARAT,MEKARASIH,TIDAK ADA,2019.0
JAWA BARAT,SANGRAWAYANG,TIDAK ADA,2019.0
